"","animal.id","animal.reproductive.condition","animal.sex","Hunt","N.pray","Hrs.indors","N.neigbours","StartDate","StartHours","EndDate","EndHours","animal.age"
"51","Slasher",0,-1,1,"9","8","1","2015-05-30","00:32:41.000","2015-06-10","02:12:40.000","8"
"52","DetectiveTeddy",0,0,1,"5","5","1","2015-05-30","00:32:56.000","2015-06-08","14:58:50.000","8"
"53","Misty2",0,1,1,"17","15","1","2015-05-30","00:32:58.000","2015-06-06","02:47:39.000","8"
"54","BigFella",0,-1,1,"2","12","1","2015-05-30","00:33:30.000","2015-06-07","02:05:57.000","7"
"55","LadyVelvet",0,1,0,"1","20","2","2015-05-30","00:33:32.000","2015-06-08","14:58:50.000","8"
"56","Max",0,0,1,"21","15","2","2015-05-30","00:36:05.000","2015-06-03","07:24:11.000","8"
"57","Mika",0,1,1,"1","18","1","2015-05-30","15:02:43.000","2015-06-10","04:28:36.000","3"
"58","Atik",0,1,1,"5","12","1","2015-06-05","00:33:26.000","2015-06-15","14:57:42.000","2"
"59","Kallie",0,1,1,"5","10","1","2015-06-05","00:33:56.000","2015-06-14","14:57:44.000","-1"
"60","Pixie",0,1,1,"3","10","1","2015-06-05","00:34:28.000","2015-06-12","14:59:41.000","5"
"61","Genie",0,1,1,"2","14","1","2015-06-05","00:47:26.000","2015-06-12","15:31:43.000","4"
"62","Milly2",0,1,1,"3","15","1","2015-06-05","00:50:34.000","2015-06-11","22:27:29.000","11"
"63","Skitty",0,0,1,"6","3","1","2015-06-05","15:02:33.000","2015-06-10","09:54:26.000","5"
"64","Max2",0,0,1,"2","3","1","2015-06-06","00:33:56.000","2015-06-12","22:28:17.000","3"
"65","Kitty",0,0,1,"1","3","1","2015-06-06","00:47:46.000","2015-06-12","09:23:07.000","4"
"66","Drake",0,1,1,"1","18","1","2015-06-06","01:39:01.000","2015-06-12","23:07:00.000","10"
"67","Delilah",0,1,1,"5","18","2","2015-06-06","01:46:17.000","2015-06-12","22:55:06.000","2"
"68","Kramer",0,0,1,"4","12","1","2015-06-06","03:52:52.000","2015-06-11","00:15:28.000","12"
"69","Molly",-1,-1,-1,"0","0","0","2015-06-06","09:31:32.000","2015-06-13","03:44:14.000","0"
"70","Adele",0,1,1,"6","24","1","2015-06-08","15:05:06.000","2015-06-13","14:56:58.000","9"
"71","Henry",0,0,1,"4","15","1","2015-06-13","00:30:34.000","2015-06-21","14:58:33.000","-1"
"72","Rio",0,1,1,"0","15","1","2015-06-13","00:31:14.000","2015-06-20","15:05:09.000","4"
"73","Smokey",0,1,1,"1","6","2","2015-06-13","00:31:36.000","2015-06-21","14:57:38.000","3"
"74","Sushi",0,1,0,"0","20","1","2015-06-13","00:31:56.000","2015-06-18","17:04:28.000","3"
"75","Midori",0,1,1,"2","8","1","2015-06-13","00:32:16.000","2015-06-21","14:59:18.000","7"
"76","Toby2",0,0,0,"0","15","1","2015-06-13","00:32:23.000","2015-06-20","14:57:36.000","2"
"77","Tom",0,0,1,"5","6","1","2015-06-13","00:32:34.000","2015-06-21","14:58:33.000","12"
"78","Mingo",0,1,1,"1","19","2","2015-06-13","00:32:45.000","2015-06-20","15:03:20.000","5"
"79","Sassy",0,1,1,"1","19","2","2015-06-13","00:33:04.000","2015-06-21","14:57:10.000","6"
"80","Bandit",0,1,1,"13","4","1","2015-06-13","00:33:44.000","2015-06-21","14:58:55.000","3"
"81","Hunter",0,0,1,"0","10","1","2015-06-13","00:51:48.000","2015-06-21","05:36:12.000","-1"
"82","Darkie",0,1,1,"6","8","1","2015-06-13","02:50:03.000","2015-06-19","12:08:25.000","2"
"83","Mango",0,0,1,"3","14","1","2015-06-13","03:00:22.000","2015-06-20","00:09:56.000","-1"
"84","Casper",0,0,1,"3","4","1","2015-06-14","00:32:34.000","2015-06-20","18:56:05.000","8"
"85","Milo",0,1,0,"0","14","4","2015-06-14","00:33:41.000","2015-06-21","13:51:27.000","58"
"86","Charlotte",0,1,1,"3","17","1","2015-06-14","00:36:01.000","2015-06-20","06:10:03.000","5"
"87","Wizzer",0,1,1,"3","8","2","2015-06-14","01:34:35.000","2015-06-21","18:41:26.000","12"
"88","Mickey",0,0,1,"6","8","2","2015-06-14","01:40:22.000","2015-06-21","13:22:37.000","4"
"89","Johnny",0,0,1,"11","4","3","2015-06-14","03:07:49.000","2015-06-21","15:29:23.000","2"
"90","MapleSyrup",0,1,0,"0","21","3","2015-06-19","00:32:51.000","2015-06-25","07:08:30.000","10"
"91","Muggins",0,0,1,"1","2","1","2015-06-19","01:32:23.000","2015-06-27","15:59:38.000","0"
"92","Caspian",0,0,1,"11","15","2","2015-06-19","02:03:41.000","2015-06-25","23:07:27.000","10"
"93","Lief",0,0,1,"11","24","1","2015-06-19","02:51:37.000","2015-06-23","08:57:40.000","3"
"94","Rufus",0,0,1,"21","18","4","2015-06-19","03:01:34.000","2015-06-25","22:21:27.000","6"
"95","Uno",0,0,1,"1","3","1","2015-06-20","00:32:04.000","2015-06-27","15:08:11.000","13"
"96","Nellie",0,1,1,"2","10","1","2015-06-20","00:32:35.000","2015-06-29","14:58:59.000","4"
"97","Bob",0,0,1,"4","9","1","2015-06-20","00:33:27.000","2015-06-27","22:42:58.000","7"
"98","Fergie",0,1,0,"4","24","2","2015-06-20","00:35:45.000","2015-06-25","20:21:16.000","-1"
"99","Marbles",0,0,1,"0","20","2","2015-06-20","00:51:52.000","2015-06-27","13:26:05.000","7"
"100","Clawd",0,0,1,"3","22","1","2015-06-20","01:12:04.000","2015-06-28","11:50:58.000","7"
"101","Rodney",0,0,1,"2","10","2","2015-06-20","01:33:27.000","2015-06-29","15:59:17.000","4"
"102","Ninja",0,1,1,"6","22","1","2015-06-20","02:31:24.000","2015-06-27","00:01:53.000","-1"
"103","Lucy3",0,1,1,"6","1","1","2015-06-25","02:33:34.000","2015-07-03","14:29:26.000","3"
"104","Martha",0,1,1,"1","20","3","2015-06-25","13:54:26.000","2015-06-30","12:58:20.000","2"
"105","Momo",0,1,1,"1","12","1","2015-06-25","15:24:42.000","2015-07-02","00:09:31.000","2"
"106","Lilliput",0,1,1,"3","23","2","2015-06-26","00:30:58.000","2015-07-04","21:56:37.000","3"
"107","Lucims",0,1,0,"0","1","1","2015-06-26","00:31:47.000","2015-07-04","22:18:36.000","15"
"108","Tipsy",0,-1,0,"0","20","1","2015-06-26","00:31:59.000","2015-07-06","03:56:30.000","10"
"109","MissyMoo",0,1,-1,"0","18","1","2015-06-26","00:32:20.000","2015-07-01","04:15:17.000","8"
"110","Minty",0,1,-1,"1","16","2","2015-06-26","00:33:59.000","2015-07-02","05:16:36.000","3"
"111","Tilly",0,1,-1,"0","18","1","2015-06-26","00:52:59.000","2015-07-03","03:09:25.000","7"
"112","Tipsie",0,1,1,"4","5","2","2015-06-26","19:47:26.000","2015-07-03","01:35:22.000","3"
"113","Pearl",0,1,0,"0","0","0","2015-06-26","23:06:49.000","2015-07-03","14:58:04.000","0"
"114","Ringo",0,0,1,"1","12","2","2015-06-27","01:03:07.000","2015-07-01","22:25:18.000","9"
"115","LibertyBelle",0,1,1,"3","20","1","2015-06-27","01:55:31.000","2015-07-01","13:53:57.000","2"
"116","Smudge",0,0,-1,"0","8","1","2015-06-27","06:45:32.000","2015-07-04","19:46:38.000","9"
"117","Scout",0,0,-1,"0","3","3","2015-06-27","10:39:31.000","2015-07-02","21:45:05.000","8"
"118","Roxi",0,1,1,"11","12","2","2015-07-01","00:31:50.000","2015-07-14","19:54:11.000","2"
"119","Darcy",0,0,1,"4","12","1","2015-07-01","00:32:30.000","2015-07-09","14:58:45.000","8"
"120","Zak",0,0,1,"11","8","1","2015-07-01","01:32:34.000","2015-07-12","21:49:26.000","2"
"121","Kitty2",0,0,1,"1","13","2","2015-07-03","00:32:59.000","2015-07-11","13:35:42.000","5"
"122","Millie2",0,1,-1,"0","13","1","2015-07-03","00:33:35.000","2015-07-11","03:53:01.000","11"
"123","Cat",0,0,1,"1","13","1","2015-07-03","00:34:05.000","2015-07-10","14:59:41.000","6"
"124","Darcy2",0,0,1,"1","23","1","2015-07-03","00:34:09.000","2015-07-08","02:39:41.000","8"
"125","Bugsy",0,0,1,"3","6","2","2015-07-03","00:35:03.000","2015-07-10","13:10:46.000","5"
"126","Stumpy",-1,-1,-1,"0","0","0","2015-07-08","00:32:35.000","2015-07-15","14:57:58.000","0"
"127","Rumpy",0,0,1,"3","20","1","2015-07-08","00:49:15.000","2015-07-15","14:59:12.000","11"
"128","Eldrick",0,0,1,"11","8","1","2015-07-08","03:22:14.000","2015-07-16","15:28:10.000","2"
"129","Latte",0,1,1,"3","17","1","2015-07-08","10:35:53.000","2015-07-16","03:47:25.000","4"
"130","Merlot",0,0,1,"8","12","1","2015-07-09","00:33:10.000","2015-07-16","19:27:28.000","9"
"131","Holly",0,1,1,"7","3","1","2015-07-09","00:35:08.000","2015-07-14","13:40:55.000","3"
"132","George",0,0,1,"3","10","2","2015-07-15","00:32:49.000","2015-07-25","14:59:52.000","3"
"133","Sparkle",0,1,1,"5","10","1","2015-07-15","00:47:10.000","2015-07-25","14:57:37.000","4"
"134","Basil",0,0,1,"2","3","1","2015-07-15","01:38:34.000","2015-07-21","13:24:13.000","3"
"135","Milfred",0,0,1,"7","14","1","2015-07-16","00:32:11.000","2015-07-27","03:14:48.000","3"
"136","ZazzieM",-1,-1,-1,"0","0","1","2015-07-16","00:33:04.000","2015-07-23","08:09:14.000","0"
"137","Sylvia",0,1,1,"3","14","2","2015-07-16","00:33:51.000","2015-07-21","15:34:05.000","10"
"138","Leo",0,0,1,"3","2","1","2015-07-16","00:34:18.000","2015-07-22","21:46:49.000","2"
"139","Oscar",0,0,1,"1","12","1","2015-07-16","00:48:20.000","2015-07-21","14:22:05.000","10"
"140","Pepper",0,0,1,"2","6","1","2015-07-16","01:02:09.000","2015-07-21","12:38:19.000","2"
"141","Jericho",0,0,-1,"0","1","1","2015-07-17","00:30:33.000","2015-07-21","23:06:52.000","12"
"142","IronMan",-1,-1,-1,"0","0","0","2015-07-17","00:34:10.000","2015-07-22","09:06:11.000","0"
"143","Moggy",0,1,1,"1","18","1","2015-07-21","00:49:41.000","2015-07-27","23:55:14.000","11"
"144","Louis",0,0,0,"0","21","1","2015-07-22","00:34:27.000","2015-07-30","06:37:21.000","12"
"145","Thornton",0,0,1,"0","1","2","2015-07-22","00:48:56.000","2015-07-29","05:46:49.000","2"
"146","Cleo",0,1,1,"0","10","1","2015-07-22","00:51:30.000","2015-07-28","16:11:07.000","4"
"147","Angel",0,1,1,"5","10","1","2015-07-22","07:03:05.000","2015-07-29","01:21:37.000","3"
"148","CharlieFrank",0,0,0,"0","4","1","2015-07-22","08:16:55.000","2015-07-28","13:24:04.000","4"
"149","Bungey",0,0,1,"1","12","1","2015-07-22","09:38:33.000","2015-07-27","11:17:27.000","6"
"150","Gus",0,0,1,"3","15","1","2015-07-23","00:41:01.000","2015-07-28","18:09:34.000","3"
"151","Pusskins",0,0,-1,"0","15","1","2015-07-23","01:10:38.000","2015-07-29","01:43:17.000","7"
"152","Eddie",0,0,0,"0","14","1","2015-07-29","00:32:04.000","2015-08-05","13:20:23.000","11"
"153","Goldfinger",0,0,0,"0","15","1","2015-07-29","00:32:05.000","2015-08-07","18:31:33.000","4"
"154","PussyGalore",0,1,-1,"1","15","2","2015-07-29","00:32:27.000","2015-08-09","09:02:50.000","25"
"155","Tasha",0,1,1,"1","12","1","2015-07-29","00:32:34.000","2015-08-06","02:20:26.000","9"
"156","ChuckNorris",0,0,1,"2","12","1","2015-07-29","04:19:13.000","2015-08-03","03:32:51.000","3"
"157","Phoenix",0,0,1,"0","7","1","2015-07-30","00:30:33.000","2015-08-07","04:46:32.000","4"
"158","Jack",0,0,1,"5","2","2","2015-07-30","00:31:33.000","2015-08-07","14:06:25.000","6"
"159","Cosi",0,1,1,"3","2","1","2015-07-30","00:32:03.000","2015-08-09","07:39:25.000","8"
"160","Boots",0,1,1,"3","8","3","2015-07-30","00:32:03.000","2015-08-09","19:37:03.000","3"
"161","Yoda",0,0,1,"0","16","2","2015-07-30","00:32:04.000","2015-08-06","14:57:47.000","5"
"162","Buddha",0,0,1,"2","7","1","2015-07-30","00:33:14.000","2015-08-06","14:56:53.000","6"
"163","Bagheera",-1,-1,-1,"NA","NA","NA","2015-07-30","02:16:44.000","2015-08-05","22:51:34.000","-1"
"164","Milo2",0,0,1,"16","6","1","2015-07-31","03:54:37.000","2015-08-06","17:07:30.000","2"
"165","Winnie",0,1,0,"0","5","1","2015-08-01","00:30:35.000","2015-08-07","15:46:53.000","14"
"166","Xander",0,0,1,"3","15","3","2015-08-01","01:49:44.000","2015-08-09","22:17:39.000","2"
"167","Patra",0,1,1,"2","10","1","2015-08-05","00:32:05.000","2015-08-12","14:57:07.000","8"
"168","Pants",0,0,1,"4","16","1","2015-08-06","00:33:26.000","2015-08-12","13:20:23.000","7"
"169","Leo2",0,0,0,"0","12","1","2015-08-12","00:32:34.000","2015-08-20","14:59:12.000","10"
"170","Lilly",0,1,-1,"0","1","3","2015-08-12","00:32:47.000","2015-08-20","14:58:19.000","4"
"171","Benny",0,0,1,"1","13","2","2015-08-12","00:33:04.000","2015-08-20","14:54:56.000","7"
"172","Muss",0,0,1,"1","15","1","2015-08-13","00:30:57.000","2015-08-20","14:59:44.000","7"
"173","DC",0,0,0,"0","12","1","2015-08-13","00:31:03.000","2015-08-23","00:34:16.000","6"
"174","Milo3",0,0,1,"2","12","1","2015-08-13","00:32:34.000","2015-08-17","19:56:30.000","4"
"175","Merlin",0,0,1,"4","12","2","2015-08-13","00:32:55.000","2015-08-18","20:47:45.000","-1"
"176","Tippy",1,0,-1,"0","12","1","2015-08-13","00:50:34.000","2015-08-21","02:27:01.000","12"
"177","HaHa",0,0,1,"0","17","2","2015-08-14","00:30:56.000","2015-08-21","00:13:55.000","2"
"178","Paul",0,0,0,"0","10","3","2015-08-14","00:34:56.000","2015-08-20","15:18:06.000","4"
"179","Ruby2",0,1,1,"6","7","1","2015-08-14","00:48:53.000","2015-08-22","22:19:03.000","2"
"180","Panther",0,1,1,"0","17","1","2015-08-14","02:43:21.000","2015-08-20","16:42:58.000","2"
"181","Mittens",0,1,1,"2","10","2","2015-08-15","01:19:43.000","2015-08-20","06:10:20.000","5"
"182","Jester",0,0,1,"2","3","1","2015-08-15","01:28:34.000","2015-08-20","20:57:40.000","5"
"183","Ruby3",0,1,1,"1","8","1","2015-08-19","00:51:33.000","2015-08-25","12:53:55.000","9"
"184","Ali",0,1,1,"5","12","1","2015-08-19","01:34:26.000","2015-08-26","15:56:45.000","67"
"185","Stinky",0,1,0,"0","6","1","2015-08-19","03:52:56.000","2015-08-25","08:29:34.000","14"
"186","Shadow",0,1,1,"13","20","1","2015-08-20","00:32:32.000","2015-08-26","05:48:30.000","8"
"187","KikkiDee",0,1,1,"0","20","1","2015-08-20","00:35:19.000","2015-08-26","09:18:30.000","8"
"188","Jasper2",0,0,1,"2","18","1","2015-08-21","00:48:25.000","2015-08-29","03:38:03.000","2"
"189","Sooty",0,1,1,"2","4","2","2015-08-21","05:43:18.000","2015-08-27","08:00:06.000","10"
"190","Rosie",0,1,1,"3","12","1","2015-08-21","05:43:24.000","2015-08-27","20:32:41.000","4"
"191","MonaLisa",0,1,0,"0","17","1","2015-08-26","00:32:13.000","2015-09-02","14:57:42.000","9"
"192","Boofy",0,0,1,"1","0","1","2015-08-26","05:14:13.000","2015-08-30","13:46:14.000","9"
"193","Kitty3",0,1,-1,"0","3","1","2015-08-27","00:30:34.000","2015-09-06","16:02:35.000","-1"
"194","Bruce",0,0,1,"2","20","1","2015-08-27","00:34:08.000","2015-09-03","09:55:31.000","2"
"195","LucarioBlack",0,0,1,"3","19","2","2015-08-27","00:34:26.000","2015-09-02","15:04:07.000","3"
"196","Truffula",0,1,1,"3","2","1","2015-08-27","01:52:07.000","2015-09-04","06:26:57.000","5"
"197","Rosie2",0,1,1,"2","16","2","2015-08-27","03:00:52.000","2015-09-02","14:11:18.000","11"
"198","Jazzie",0,1,1,"5","6","3","2015-08-27","03:45:41.000","2015-09-01","16:16:12.000","-1"
"199","Lila",0,1,1,"1","13","1","2015-08-28","00:32:28.000","2015-09-04","11:40:25.000","7"
"200","MrLittleCat",0,0,1,"3","1","1","2015-08-28","00:32:45.000","2015-09-05","14:57:06.000","8"
"201","Ash",0,0,1,"2","12","1","2015-08-28","00:35:50.000","2015-09-03","07:32:10.000","8"
"202","Kitty4",1,0,1,"4","12","1","2015-08-28","00:38:57.000","2015-09-06","08:33:25.000","2"
"203","Ruby4",0,1,1,"2","16","1","2015-08-28","01:41:02.000","2015-09-02","04:26:09.000","3"
"204","Felix",0,0,1,"2","12","1","2015-09-02","00:32:04.000","2015-09-09","09:38:47.000","2"
"205","Bella5",0,1,0,"0","12","1","2015-09-02","00:33:26.000","2015-09-10","14:59:59.000","5"
"206","Tiger3",0,0,-1,"0","16","1","2015-09-02","01:40:02.000","2015-09-07","20:16:39.000","15"
"207","Cheeky",0,0,-1,"1","16","2","2015-09-02","02:23:08.000","2015-09-05","04:24:27.000","15"
"208","Maca",0,1,1,"9","1","1","2015-09-03","00:31:31.000","2015-09-09","07:31:07.000","10"
"209","Ivory",0,1,1,"2","19","1","2015-09-03","00:32:04.000","2015-09-11","15:22:09.000","2"
"210","Soxy",0,0,1,"1","15","1","2015-09-03","00:32:22.000","2015-09-15","03:19:02.000","14"
"211","Tilly2",0,1,1,"6","20","2","2015-09-03","00:32:22.000","2015-09-08","12:08:58.000","10"
"212","Harry",0,0,-1,"0","1","1","2015-09-03","00:32:29.000","2015-09-12","04:50:23.000","2"
"213","Misty3",0,1,1,"1","20","2","2015-09-03","00:32:51.000","2015-09-08","23:44:23.000","0"
"214","Boo",0,0,-1,"0","0","3","2015-09-03","00:35:44.000","2015-09-11","00:19:25.000","4"
"215","Grimm",0,0,-1,"0","8","4","2015-09-03","01:48:51.000","2015-09-10","20:10:00.000","58"
"216","Bessy",0,1,1,"21","18","1","2015-09-03","02:09:55.000","2015-09-08","16:10:57.000","8"
"217","Nelson",0,0,1,"5","8","1","2015-09-03","09:08:59.000","2015-09-09","00:09:42.000","3"
"218","Marbles2",0,1,0,"0","0","3","2015-09-04","00:30:41.000","2015-09-11","15:05:44.000","2"
"219","Tux",0,0,0,"0","10","1","2015-09-04","00:32:04.000","2015-09-11","15:03:26.000","6"
"220","Ripley",0,1,1,"4","20","2","2015-09-04","00:32:33.000","2015-09-13","14:59:37.000","3"
"221","Merlin2",0,0,-1,"0","3","2","2015-09-04","00:32:41.000","2015-09-11","15:05:41.000","9"
"222","MrWhiskers",0,1,0,"0","20","1","2015-09-04","01:39:21.000","2015-09-13","14:57:26.000","5"
"223","Charlie2",0,0,-1,"0","15","1","2015-09-04","15:05:30.000","2015-09-11","14:50:43.000","3"
"224","Hazel",0,-1,1,"3","14","1","2015-09-09","00:30:55.000","2015-09-16","14:59:48.000","-1"
"225","Leo3",0,0,1,"3","5","2","2015-09-09","00:31:02.000","2015-09-16","14:57:31.000","6"
"226","Soxy2",0,0,0,"0","22","1","2015-09-09","00:31:51.000","2015-09-21","10:30:27.000","2"
"227","Theo",0,0,-1,"0","5","3","2015-09-09","00:32:12.000","2015-09-16","14:57:44.000","6"
"228","Geezer",0,0,-1,"0","5","1","2015-09-09","00:33:55.000","2015-09-16","14:59:36.000","5"
"229","Harry2",0,0,0,"0","8","1","2015-09-10","00:31:58.000","2015-09-18","14:48:52.000","2"
"230","Midnight",0,0,1,"1","15","1","2015-09-10","00:32:11.000","2015-09-17","14:58:53.000","11"
"231","Rupert",0,0,1,"0","8","3","2015-09-10","00:32:29.000","2015-09-20","03:52:57.000","-1"
"232","Jasmine",0,1,1,"1","18","2","2015-09-10","00:32:51.000","2015-09-11","18:05:59.000","11"
"233","Lily",0,1,-1,"0","12","4","2015-09-10","00:33:56.000","2015-09-17","14:58:50.000","3"
"234","Buddy2",0,0,1,"4","15","1","2015-09-10","00:35:25.000","2015-09-16","20:38:11.000","4"
"235","Sibelius",0,0,1,"4","4","1","2015-09-11","02:44:04.000","2015-09-18","22:42:23.000","3"
"236","Timmy",0,0,1,"6","12","1","2015-09-16","00:31:04.000","2015-09-23","21:34:07.000","3"
"237","Flanders",0,0,0,"0","13","1","2015-09-16","00:32:23.000","2015-09-23","14:57:46.000","-1"
"238","Zoe",-1,1,1,"2","3","1","2015-09-30","00:30:33.000","2015-10-07","13:59:09.000","7"
"239","Pepper2",0,1,1,"0","2","2","2015-09-30","00:30:57.000","2015-10-08","13:59:42.000","10"
"240","Charlie3",0,1,1,"1","10","1","2015-09-30","00:30:58.000","2015-10-08","13:59:53.000","12"
"241","Sunny",0,0,1,"3","8","1","2015-09-30","00:31:38.000","2015-10-08","13:59:46.000","15"
"242","Rascal",0,0,0,"0","16","3","2015-09-30","00:32:35.000","2015-10-02","00:37:45.000","67"
"243","Schnooz",0,0,1,"3","12","1","2015-09-30","00:32:35.000","2015-10-08","13:58:51.000","8"
"244","AmbaRose",0,1,1,"2","7","1","2015-09-30","00:32:42.000","2015-10-07","13:58:33.000","10"
"245","Tobin",0,0,1,"0","14","1","2015-09-30","00:32:58.000","2015-10-07","13:57:57.000","6"
"246","Rupert2",0,0,1,"3","14","1","2015-09-30","00:33:02.000","2015-10-06","17:03:42.000","3"
"247","Alfie",-1,-1,-1,"0","0","0","2015-09-30","00:34:33.000","2015-10-10","06:32:00.000","-1"
"248","Felix2",0,1,1,"1","16","1","2015-09-30","00:35:49.000","2015-10-09","00:26:59.000","4"
"249","Sammi",0,1,0,"0","22","1","2015-10-01","00:32:06.000","2015-10-08","13:59:36.000","11"
"250","Picasso",0,1,1,"2","12","1","2015-10-01","00:32:07.000","2015-10-09","13:59:10.000","8"
"251","Tiger4",0,0,1,"5","12","1","2015-10-01","00:32:18.000","2015-10-11","13:58:04.000","7"
"252","Monty",-1,-1,-1,"0","0","3","2015-10-01","00:32:27.000","2015-10-11","13:57:13.000","0"
"253","Amelia",0,1,-1,"1","12","2","2015-10-01","00:32:34.000","2015-10-08","13:57:10.000","10"
"254","Theo2",-1,-1,-1,"0","0","2","2015-10-01","00:32:34.000","2015-10-11","13:57:48.000","0"
