"","animal.id","animal.reproductive.condition","animal.sex","Hunt","N.pray","Hrs.indors","N.neigbours","StartDate","StartHours","EndDate","EndHours","animal.age"
"1","Snowy",-1,-1,-1,"0","0","2","2015-03-03","06:42:09.000","2015-03-10","16:06:57.000","0"
"2","Gomez",-1,-1,-1,"0","0","3","2015-03-06","15:56:26.000","2015-03-11","14:25:34.000","0"
"3","Frizzle",0,0,1,"0","20","1","2015-03-31","01:32:04.000","2015-04-07","15:57:04.000","3"
"4","MonMon",0,1,1,"3","0","1","2015-03-31","01:32:22.000","2015-04-07","15:59:55.000","4"
"5","Buddy",0,0,1,"1","21","1","2015-03-31","07:59:33.000","2015-04-08","02:01:21.000","2"
"6","Tiger",0,0,1,"1","10","1","2015-04-01","01:32:24.000","2015-04-07","03:54:13.000","5"
"7","Jamie",0,0,1,"3","10","1","2015-04-01","01:32:31.000","2015-04-09","15:57:56.000","9"
"8","BruceWillisPussington",0,0,1,"1","14","1","2015-04-02","01:31:46.000","2015-04-09","20:06:25.000","7"
"9","Skittles",0,0,1,"11","18","1","2015-04-18","16:02:05.000","2015-04-27","13:16:01.000","2"
"10","Princess",0,1,1,"6","8","1","2015-04-18","16:02:59.000","2015-04-23","19:05:03.000","0"
"11","Lofty",0,0,1,"21","3","1","2015-04-18","16:17:51.000","2015-04-26","00:37:44.000","13"
"12","Zazzie",0,0,1,"0","5","1","2015-04-18","16:23:59.000","2015-04-26","14:45:28.000","12"
"13","Crumpet",0,1,1,"3","7","1","2015-04-18","16:25:34.000","2015-04-25","04:44:34.000","4"
"14","Toby",0,0,1,"1","12","1","2015-04-23","16:01:52.000","2015-05-01","06:28:53.000","0"
"15","Isabel",0,1,1,"1","10","1","2015-04-23","16:20:45.000","2015-05-02","08:38:20.000","3"
"16","Penny",0,1,1,"2","10","1","2015-04-24","16:01:57.000","2015-05-03","06:28:16.000","2"
"17","Misty",0,1,1,"9","1","1","2015-04-24","16:02:34.000","2015-05-02","23:29:13.000","10"
"18","Sookie",0,1,1,"21","6","1","2015-04-24","16:02:51.000","2015-05-04","06:28:36.000","6"
"19","Pippin",0,0,1,"7","2","1","2015-04-24","16:02:57.000","2015-05-04","10:02:00.000","5"
"20","Squeak",0,1,1,"11","14","1","2015-04-24","16:39:45.000","2015-04-30","00:35:51.000","2"
"21","Anakin",0,0,1,"1","10","1","2015-04-30","15:02:04.000","2015-05-10","05:27:08.000","2"
"22","Ernie",0,0,1,"0","5","1","2015-05-13","15:05:01.000","2015-05-18","15:28:10.000","11"
"23","Wally",0,0,1,"0","5","2","2015-05-13","15:05:17.000","2015-05-19","21:29:56.000","2"
"24","Bella",0,1,0,"0","23","1","2015-05-14","00:34:26.000","2015-05-22","14:58:51.000","14"
"25","Jax",0,0,1,"6","10","1","2015-05-14","15:02:03.000","2015-05-24","05:29:34.000","2"
"26","Ramses",0,0,1,"1","8","1","2015-05-14","15:02:39.000","2015-05-22","10:08:41.000","6"
"27","Tigga",0,0,1,"3","3","1","2015-05-14","15:18:26.000","2015-05-22","15:35:49.000","12"
"28","FantaPants",0,0,1,"2","4","1","2015-05-15","00:32:04.000","2015-05-23","15:07:04.000","5"
"29","Matilda",0,1,1,"1","12","1","2015-05-15","00:50:12.000","2015-05-21","09:27:23.000","8"
"30","Tilen",0,-1,-1,"0","10","1","2015-05-15","05:43:39.000","2015-05-22","07:32:07.000","-1"
"31","Bel",0,1,1,"4","20","1","2015-05-15","11:46:20.000","2015-05-19","00:29:48.000","-1"
"32","Lucy2",0,1,0,"0","8","1","2015-05-15","15:01:55.000","2015-05-24","05:28:33.000","-1"
"33","Ollie",0,0,1,"4","12","1","2015-05-15","15:02:04.000","2015-05-23","05:27:03.000","5"
"34","Charlie",0,0,1,"2","16","1","2015-05-16","00:31:29.000","2015-05-25","14:57:16.000","5"
"35","Sissy",0,1,1,"1","18","3","2015-05-16","00:31:58.000","2015-05-25","14:59:24.000","3"
"36","Louise",0,1,1,"3","15","2","2015-05-16","00:32:29.000","2015-05-25","14:56:58.000","4"
"37","Jasper",0,0,0,"0","12","1","2015-05-16","00:33:46.000","2015-05-25","14:57:56.000","5"
"38","Lightning",0,1,-1,"0","9","1","2015-05-16","00:55:04.000","2015-05-24","02:23:39.000","-1"
"39","Mandy",0,1,1,"6","12","2","2015-05-16","15:00:59.000","2015-05-23","00:44:02.000","-1"
"40","Saffy",0,1,1,"1","22","1","2015-05-21","00:31:59.000","2015-06-03","20:55:01.000","2"
"41","Shelly",0,1,-1,"0","1","1","2015-05-21","00:33:54.000","2015-05-27","03:40:42.000","6"
"42","Ruby",0,1,1,"3","12","1","2015-05-22","00:31:03.000","2015-05-29","08:26:27.000","10"
"43","Thomas",0,0,1,"0","4","1","2015-05-22","00:32:22.000","2015-05-30","07:35:58.000","5"
"44","Mysti",0,1,1,"1","20","1","2015-05-22","00:51:17.000","2015-05-29","00:26:38.000","18"
"45","Costa",-1,-1,-1,"NA","NA","NA","2015-05-22","01:32:04.000","2015-05-31","18:35:45.000","-1"
"46","Moochie",0,1,0,"0","10","1","2015-05-22","02:26:00.000","2015-05-29","02:42:11.000","4"
"47","Sapphire",-1,-1,-1,"0","0","0","2015-05-29","00:33:45.000","2015-06-06","02:23:41.000","0"
"48","Raizor",0,1,1,"5","8","2","2015-05-30","00:30:41.000","2015-06-09","20:18:43.000","2"
"49","NekoMei",0,1,0,"0","14","3","2015-05-30","00:30:57.000","2015-06-10","14:06:09.000","9"
"50","Milly",0,1,1,"5","10","1","2015-05-30","00:31:42.000","2015-06-10","19:10:07.000","4"
