# A tibble: 440 × 15
   rowid Hunt    animal.sex Sterilisation  N.pray Hrs.indors N.neigbours animal.age   mds.x    mds.y  Comp.1   Comp.2 umap.x
   <int> <fct>        <dbl>         <dbl>   <dbl>      <dbl>       <dbl>      <dbl>   <dbl>    <dbl>   <dbl>    <dbl>  <dbl>
 1     1 Unknown     -2.32         -4.12  -0.725      -1.72        0.957     -1.33   4.53    1.44    -4.53   -1.44    19.4  
 2     2 Unknown     -2.32         -4.12  -0.725      -1.72        2.37      -1.33   4.14    2.25    -4.14   -2.25    19.3  
 3     3 Yes         -0.639         0.105 -0.725       1.46       -0.461     -0.598 -0.157  -0.00477  0.157   0.00477 -1.97 
 4     4 Yes          1.04          0.105  0.0100     -1.72       -0.461     -0.353  0.501  -0.0726  -0.501   0.0726  -2.62 
 5     5 Yes         -0.639         0.105 -0.480       1.62       -0.461     -0.843 -0.207   0.263    0.207  -0.263   -2.01 
 6     6 Yes         -0.639         0.105 -0.480      -0.127      -0.461     -0.108  0.554  -0.306   -0.554   0.306   -0.565
 7     7 Yes         -0.639         0.105  0.0100     -0.127      -0.461      0.873  0.310  -0.869   -0.310   0.869    0.274
 8     8 Yes         -0.639         0.105 -0.480       0.510      -0.461      0.382  0.118  -0.663   -0.118   0.663   -0.350
 9     9 Yes         -0.639         0.105  1.97        1.15       -0.461     -0.843 -0.147   1.09     0.147  -1.09    -1.99 
10    10 Yes          1.04          0.105  0.745      -0.445      -0.461     -1.33  -0.0158  0.922    0.0158 -0.922   -4.22 
# ℹ 430 more rows
# ℹ 2 more variables: umap.y <dbl>, kmeans.3 <fct>
# ℹ Use `print(n = ...)` to see more rows
