      1    2    3    4    5    6    7    8    9   10
1  0.00 1.42 5.77 5.71 5.84 5.17 5.53 5.53 6.19 5.91
2  1.42 0.00 6.27 6.22 6.34 5.73 6.05 6.05 6.66 6.40
3  5.77 6.27 0.00 3.68 0.38 1.68 2.29 1.39 2.72 3.03
4  5.71 6.22 3.68 0.00 3.80 2.38 2.62 2.93 3.89 1.77
5  5.84 6.34 0.38 3.80 0.00 1.90 2.50 1.66 2.50 2.97
6  5.17 5.73 1.68 2.38 1.90 0.00 1.10 0.80 2.86 2.43
7  5.53 6.05 2.29 2.62 2.50 1.10 0.00 0.94 2.90 2.89
8  5.53 6.05 1.39 2.93 1.66 0.80 0.94 0.00 2.81 2.86
9  6.19 6.66 2.72 3.89 2.50 2.86 2.90 2.81 0.00 2.66
10 5.91 6.40 3.03 1.77 2.97 2.43 2.89 2.86 2.66 0.00
