event.id,timestamp,location.long,location.lat,animal.id,animal.reproductive.condition,animal.sex,Hunt,N.pray,Hrs.indoors,N.neigbourgs,StartDate,StartHours,EndDate,EndHours,animal.age
1,,,,Shadow,0,0,1,2,18,1,,,,,5
2,,,,Yaga,0,1,1,4,20,1,,,,,5
3,,,,Olga,0,1,1,8,18,2,,,,,4.5
4,,,,Sunday,0,1,1,0,16,2,,,,,3.5
5,,,,Sparrow,0,0,1,0,16,2,,,,,3.5
6,,,,Mouchetto,0,1,1,0,24,0,,,,,2
7,,,,Chicharito,0,0,0,0,20,0,,,,,10
8,,,,Oscar,0,0,1,0,12,3,,,,,4
9,,,,Tigrou,0,0,1,1,8,2,,,,,7
10,,,,Kitty,0,0,0,0,17,2,,,,,10
11,,,,Marisa,0,0,1,8,15,4,,,,,2
12,,,,Romy,0,1,1,6,15,4,,,,,5
13,,,,Sakura,0,1,1,3,15,4,,,,,3
14,,,,Satori,0,1,1,4,18,4,,,,,1
15,,,,Narnia,0,1,1,2,22,4,,,,,8
